game,tick,actor_id,name,strategy,n_props,port_wealth,cash,final_score,risk_cost
6,1,ai1,Mr Reid Furbish,brrr,2,302100.0,1169566.0,460398.0,0.0
6,1,ai2,Ms Demi Graphic,demographic,2,147500.0,1347301.0,593714.0,0.0
6,2,player,You,player,4,867509.0,555528.0,1186072.0,16470.0
6,2,ai1,Mr Reid Furbish,brrr,2,315058.0,1196451.0,460398.0,0.0
6,2,ai2,Ms Demi Graphic,demographic,2,146025.0,1374839.0,593714.0,0.0
6,3,player,You,player,4,838908.0,574324.0,1186072.0,16470.0
6,3,ai1,Mr Reid Furbish,brrr,2,303261.0,1224328.0,460398.0,0.0
6,3,ai2,Ms Demi Graphic,demographic,3,215160.0,1316364.0,593714.0,0.0
6,4,player,You,player,5,731796.0,577524.0,1186072.0,16470.0
6,4,ai1,Mr Reid Furbish,brrr,2,276983.0,1227697.0,460398.0,0.0
6,4,ai2,Ms Demi Graphic,demographic,3,172145.0,1325275.0,593714.0,0.0
6,5,player,You,player,5,650345.0,597115.0,1186072.0,16470.0
6,5,ai1,Mr Reid Furbish,brrr,3,260655.0,1209636.0,460398.0,0.0
6,5,ai2,Ms Demi Graphic,demographic,4,161389.0,1299452.0,593714.0,0.0
6,6,player,You,player,5,691080.0,620506.0,1186072.0,16470.0
6,6,ai1,Mr Reid Furbish,brrr,3,256113.0,1229762.0,460398.0,0.0
6,6,ai2,Ms Demi Graphic,demographic,5,220895.0,1231747.0,593714.0,0.0
6,7,player,You,player,6,734386.0,611641.0,1186072.0,16470.0
6,7,ai1,Mr Reid Furbish,brrr,3,250704.0,1244990.0,460398.0,0.0
6,7,ai2,Ms Demi Graphic,demographic,5,216331.0,1245358.0,593714.0,0.0
6,8,player,You,player,6,700149.0,651211.0,1186072.0,16470.0
6,8,ai1,Mr Reid Furbish,brrr,4,306603.0,1183713.0,460398.0,0.0
6,8,ai2,Ms Demi Graphic,demographic,6,311779.0,1134631.0,593714.0,0.0
6,9,player,You,player,7,709113.0,661295.0,1186072.0,16470.0
6,9,ai1,Mr Reid Furbish,brrr,4,321657.0,1210204.0,460398.0,0.0
6,9,ai2,Ms Demi Graphic,demographic,6,325223.0,1155994.0,593714.0,0.0
6,10,player,You,player,7,683808.0,693389.0,1186072.0,16470.0
6,10,ai1,Mr Reid Furbish,brrr,4,341389.0,1214623.0,460398.0,0.0
6,10,ai2,Ms Demi Graphic,demographic,7,352606.0,1154981.0,593714.0,0.0
6,11,player,You,player,8,832895.0,499085.0,1186072.0,16470.0
6,11,ai1,Mr Reid Furbish,brrr,5,343915.0,1208422.0,460398.0,0.0
6,11,ai2,Ms Demi Graphic,demographic,7,342195.0,1170841.0,593714.0,0.0
6,12,player,You,player,9,1039079.0,446774.0,1186072.0,16470.0
6,12,ai1,Mr Reid Furbish,brrr,5,332432.0,1239756.0,460398.0,0.0
6,12,ai2,Ms Demi Graphic,demographic,7,338385.0,1198169.0,593714.0,0.0
6,13,player,You,player,9,1098294.0,488553.0,1186072.0,16470.0
6,13,ai1,Mr Reid Furbish,brrr,5,331527.0,1269631.0,460398.0,0.0
6,13,ai2,Ms Demi Graphic,demographic,8,395488.0,1174482.0,593714.0,0.0
6,14,player,You,player,10,1232296.0,528221.0,1186072.0,16470.0
6,14,ai1,Mr Reid Furbish,brrr,4,375927.0,1289021.0,460398.0,0.0
6,14,ai2,Ms Demi Graphic,demographic,8,431062.0,1203997.0,593714.0,0.0
6,15,player,You,player,10,1154959.0,748043.0,1186072.0,16470.0
6,15,ai1,Mr Reid Furbish,brrr,5,442810.0,1275417.0,460398.0,0.0
6,15,ai2,Ms Demi Graphic,demographic,9,607227.0,1073001.0,593714.0,0.0
6,16,player,You,player,10,1160743.0,877471.0,1186072.0,16470.0
6,16,ai1,Mr Reid Furbish,brrr,5,492063.0,1290666.0,460398.0,0.0
6,16,ai2,Ms Demi Graphic,demographic,10,718047.0,1063122.0,593714.0,0.0
6,17,player,You,player,11,1227137.0,915477.0,1186072.0,16470.0
6,17,ai1,Mr Reid Furbish,brrr,4,384615.0,1427486.0,460398.0,0.0
6,17,ai2,Ms Demi Graphic,demographic,10,738745.0,1090959.0,593714.0,0.0
6,18,player,You,player,12,1291106.0,936849.0,1186072.0,16470.0
6,18,ai1,Mr Reid Furbish,brrr,5,419782.0,1431423.0,460398.0,0.0
6,18,ai2,Ms Demi Graphic,demographic,10,758757.0,1131827.0,593714.0,0.0
6,19,player,You,player,12,1293555.0,1084931.0,1186072.0,16470.0
6,19,ai1,Mr Reid Furbish,brrr,5,441942.0,1444812.0,460398.0,0.0
6,19,ai2,Ms Demi Graphic,demographic,11,905372.0,1029029.0,593714.0,0.0
6,20,player,You,player,12,1349758.0,1170784.0,1186072.0,16470.0
6,20,ai1,Mr Reid Furbish,brrr,5,463276.0,1468122.0,460398.0,0.0
6,20,ai2,Ms Demi Graphic,demographic,11,1015606.0,1064108.0,593714.0,0.0
7,1,player,You,player,3,650550.0,579447.0,1476046.0,0.0
7,1,ai1,Ms Di Vidend,yield,2,206900.0,1313318.0,1621479.0,0.0
7,1,ai2,Ms Demi Graphic,demographic,2,147500.0,1364683.0,1911291.0,16350.0
7,2,player,You,player,3,700548.0,616477.0,1476046.0,0.0
7,2,ai1,Ms Di Vidend,yield,2,226259.0,1363074.0,1621479.0,0.0
7,2,ai2,Ms Demi Graphic,demographic,2,153799.0,1401585.0,1911291.0,16350.0
7,3,player,You,player,3,766210.0,664086.0,1476046.0,0.0
7,3,ai1,Ms Di Vidend,yield,2,245618.0,1432513.0,1621479.0,0.0
7,3,ai2,Ms Demi Graphic,demographic,2,161450.0,1464536.0,1911291.0,16350.0
7,4,player,You,player,3,943054.0,716419.0,1476046.0,0.0
7,4,ai1,Ms Di Vidend,yield,2,257718.0,1508960.0,1621479.0,0.0
7,4,ai2,Ms Demi Graphic,demographic,2,169404.0,1545931.0,1911291.0,16350.0
7,5,player,You,player,3,943054.0,783682.0,1476046.0,0.0
7,5,ai1,Ms Di Vidend,yield,2,257718.0,1598192.0,1621479.0,0.0
7,5,ai2,Ms Demi Graphic,demographic,2,169404.0,1640364.0,1911291.0,16350.0
7,6,player,You,player,3,929772.0,855499.0,1476046.0,0.0
7,6,ai1,Ms Di Vidend,yield,2,254088.0,1692260.0,1621479.0,0.0
7,6,ai2,Ms Demi Graphic,demographic,2,167018.0,1740319.0,1911291.0,16350.0
7,7,player,You,player,3,885497.0,918887.0,1476046.0,0.0
7,7,ai1,Ms Di Vidend,yield,2,241988.0,1790179.0,1621479.0,0.0
